SampleID,Location,Site,Status,Position,Replicate,SoilType,USS.depth.cm,d15N,d13C_not_acidified,wt %TN,wt %TC,"acidified d13C (permil, vs VPDB)",acidified wt %N,acidified wt %C
Sample 1,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,3.104925855,-17.16921416,0.36,4.32,NA,NA,NA
Sample 2,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.467865637,-19.71737753,0.76,9.1,NA,NA,NA
Sample 3,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,3.439104829,-19.21975297,0.38,4.48,NA,NA,NA
Sample 4,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.722285882,-19.55252031,0.72,8.47,NA,NA,NA
Sample 5,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,3.026176732,-19.98908664,NA,NA,NA,NA,NA
Sample 6,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.780842923,-19.86086436,0.55,6.08,NA,NA,NA
Sample 7,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.448683158,-19.88325238,NA,NA,NA,NA,NA
Sample 8,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.684930529,-20.03589795,NA,NA,NA,NA,NA
Sample 9,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,1.669268754,-19.94634588,NA,NA,NA,NA,NA
Sample 10,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,Benthic diatoms,NA,2.981754149,-20.17531423,0.21,2.53,NA,NA,NA
BR-G-CH-1-O,BR,BR,Grazed,5,1,No Horizon,0,2.74,-16.5,0.49,8.54,-16.8,0.46,8.63
BR-G-CH-2-O,BR,BR,Grazed,5,2,No Horizon,0,3.114038809,-16.95268274,0.49,8.17,-17.05283106,0.48,8.16
BR-G-CH-3-O,BR,BR,Grazed,5,3,No Horizon,0,2.94,-16.65,0.5,9.18,-16.68780756,0.58,9.64
BR-G-HF-1-O,BR,BR,Grazed,3,1,No Horizon,0,3.62,-18.12,0.39,5.06,-18.43,0.36,4.61
BR-G-HF-2-O,BR,BR,Grazed,3,2,No Horizon,0,3.78,-17.43,0.46,6.58,-17.95,0.41,6.14
BR-G-HF-3-O,BR,BR,Grazed,3,3,No Horizon,0,3.46,-17.92,0.28,4.17,-17.74989084,0.27,4.29
BR-G-HP-1-M,BR,BR,Grazed,7,1,Upper Horizon,1.9,3.94,-19.75,0.4,5.13,-18.93,0.39,4.93
BR-G-HP-1-P,BR,BR,Grazed,7,1,Lower Horizon,NA,2.38,-17.11,0.45,7.8,-17.16,0.45,8.53
BR-G-HP-2-M,BR,BR,Grazed,7,2,Upper Horizon,2,4.22,-19.02,0.41,5,-19.03,0.39,4.89
BR-G-HP-2-P,BR,BR,Grazed,7,2,Lower Horizon,NA,3.17,-17.67,0.44,6.85,-17.88,0.4,6.59
BR-G-HP-3-M,BR,BR,Grazed,7,3,Upper Horizon,1.9,4.15,-18.85,0.41,4.9,-19.27,0.4,4.85
BR-G-HP-3-P,BR,BR,Grazed,7,3,Lower Horizon,NA,3.25,-17.82,0.42,6.77,-18.22,0.39,6.03
BR-G-LP-1-M,BR,BR,Grazed,6,1,Upper Horizon,2.5,4.35,-19.38,0.41,4.76,-19.4011452,0.4,4.8
BR-G-LP-1-P,BR,BR,Grazed,6,1,Lower Horizon,NA,3.02,-17.18,0.4,7.59,-17.24,0.45,7.65
BR-G-LP-2-M,BR,BR,Grazed,6,2,Upper Horizon,1.7,4.66,-19.24,0.39,4.51,-19.25264906,0.39,4.37
BR-G-LP-2-P,BR,BR,Grazed,6,2,Lower Horizon,NA,3.734865157,-18.09690702,0.42,5.92,-17.91859951,0.41,6.37
BR-G-LP-3-M,BR,BR,Grazed,6,3,Upper Horizon,0.5,4.45,-18.75,0.42,5.26,-19.09910203,0.44,5.42
BR-G-LP-3-P,BR,BR,Grazed,6,3,Lower Horizon,NA,3.32,NA,0.44,7.59,-17.17304862,0.41,7.38
BR-G-MC-1-O,BR,BR,Grazed,1,1,No Horizon,0,4.51,-19.39,0.42,4.49,-19.3051783,0.42,4.57
BR-G-MC-2-O,BR,BR,Grazed,1,2,No Horizon,0,4.62,-19.19,0.46,5.13,-19.04051172,0.48,5.42
BR-G-MC-3-O,BR,BR,Grazed,1,3,No Horizon,0,4.81,-19.36,0.45,4.7,-19.74,0.44,4.4
BR-G-MF-1-O,BR,BR,Grazed,2,1,No Horizon,0,4.1,-18.81,0.35,4.34,-18.64,0.36,4.23
BR-G-MF-2-O,BR,BR,Grazed,2,2,No Horizon,0,4.26,-19.48,0.41,4.33,-19.59206881,0.4,4.19
BR-G-MF-3-O,BR,BR,Grazed,2,3,No Horizon,0,4.33,-19.1,0.33,3.76,-19.14,0.35,3.76
BR-G-MUD-1-P,BR,BR,Grazed,4,1,Lower Horizon,NA,3.41,-16.78,0.47,7.97,-16.66,0.5,8.56
BR-G-MUD-2-P,BR,BR,Grazed,4,2,Lower Horizon,NA,2.89,-16.59,0.52,9.36,-16.67,0.5,9.19
BR-G-MUD-3-P,BR,BR,Grazed,4,3,Lower Horizon,NA,3.1,-17.84,0.32,4.91,-17.81,0.35,5.62
BR-H-CH-1-O,BR,BR,Un-grazed,5,1,No Horizon,0,3.59,-16.99,0.4,6.74,-17.32,0.38,6.09
BR-H-CH-2-O,BR,BR,Un-grazed,5,2,No Horizon,0,4.363765148,-18.29,0.42,5.99,-18.27046701,0.42,5.73
BR-H-CH-3-O,BR,BR,Un-grazed,5,3,No Horizon,0,4.741152507,-19.1390186,0.41,4.88,-19.12,0.41,4.7
BR-H-HF-2-O,BR,BR,Un-grazed,3,2,No Horizon,0,4.78752514,-19.44594378,0.44,4.75,-19.62,0.43,4.78
BR-H-HF-3-O,BR,BR,Un-grazed,3,3,No Horizon,0,4.581941561,-18.77434093,0.47,5.32,-19.18,0.46,4.82
BR-H-HP-1-M,BR,BR,Un-grazed,7,1,Upper Horizon,1.2,3.585327645,-19.16,0.24,2.87,-18.64,0.21,2.42
BR-H-HP-1-P,BR,BR,Un-grazed,7,1,Lower Horizon,NA,2.13514939,-18.73577894,0.12,2.07,-18.63070485,0.09,1.89
BR-H-HP-2-M,BR,BR,Un-grazed,7,2,Upper Horizon,1.7,2.671421796,-18.39,0.13,2.09,-18.63,0.15,2.29
BR-H-HP-2-P,BR,BR,Un-grazed,7,2,Lower Horizon,NA,3.402344283,-25.19,0.24,2.99,-19.44,0.25,2.7
BR-H-HP-3-M,BR,BR,Un-grazed,7,3,Upper Horizon,3.4,3.956126911,-19.41331493,0.31,3.82,-19.61,0.32,3.96
BR-H-HP-3-P,BR,BR,Un-grazed,7,3,Lower Horizon,NA,2.571900259,-18.41932501,0.13,2.33,-18.57,0.08,1.71
BR-H-LP-1-M,BR,BR,Un-grazed,6,1,Upper Horizon,2.5,1.747581086,-17.41619597,0.2,3.63,-17.54,0.21,3.51
BR-H-LP-1-P,BR,BR,Un-grazed,6,1,Lower Horizon,NA,4.1,-19.33,0.36,4.21,-19.57424893,0.36,4.11
BR-H-LP-2-M,BR,BR,Un-grazed,6,2,Upper Horizon,2.6,2.89,-18.91,0.26,3.34,-18.9640183,0.26,3.32
BR-H-LP-2-P,BR,BR,Un-grazed,6,2,Lower Horizon,NA,2.45,-17.63,0.23,3.84,-17.76796628,0.22,3.67
BR-H-LP-3-M,BR,BR,Un-grazed,6,3,Upper Horizon,1.8,4.03,-19.35,0.32,3.65,-19.33829309,0.32,3.68
BR-H-LP-3-P,BR,BR,Un-grazed,6,3,Lower Horizon,NA,4.346263998,-19.40012935,0.39,4.23,-19.74,0.37,4.33
BR-H-MC-1-O,BR,BR,Un-grazed,1,1,No Horizon,0,4.64,-19.73,0.41,4.27,-19.82037528,0.42,4.41
BR-H-MC-2-O,BR,BR,Un-grazed,1,2,No Horizon,0,5.13,-19.44,0.46,4.66,-19.74115539,0.42,4.49
BR-H-MC-3-O,BR,BR,Un-grazed,1,3,No Horizon,0,4.73,-18.5,0.47,5.69,-18.28324457,0.44,5.58
BR-H-MF-1-O,BR,BR,Un-grazed,2,1,No Horizon,0,4.93,-19.16,0.48,4.92,-19.07,0.45,4.87
BR-H-MF-2-M,BR,BR,Un-grazed,2,2,Upper Horizon,6,4.59,-18.75,0.49,5.39,-18.8165459,0.47,5.15
BR-H-MF-2-P,BR,BR,Un-grazed,2,2,Lower Horizon,NA,4.47,-18.27,0.43,5.96,-18.30293513,0.42,5.89
BR-H-MF-3-M,BR,BR,Un-grazed,2,3,Upper Horizon,5.5,4.72,-18.98,0.48,5.23,-18.81019117,0.47,5.07
BR-H-MF-3-P,BR,BR,Un-grazed,2,3,Lower Horizon,NA,4.05,-17.26,0.45,7.54,-17.45776571,0.46,7.49
BR-H-MUD-1-M,BR,BR,Un-grazed,4,1,Upper Horizon,2,3.94,-18.92,0.37,4.3,-18.35683883,0.39,4.79
BR-H-MUD-1-P,BR,BR,Un-grazed,4,1,Lower Horizon,NA,3.64,-17.69,0.34,5.07,-17.90730227,0.37,5.59
BR-H-MUD-2-M,BR,BR,Un-grazed,4,2,Upper Horizon,1.4,4.49,-18.64,0.41,4.89,-18.80129014,0.38,4.73
BR-H-MUD-2-P,BR,BR,Un-grazed,4,2,Lower Horizon,NA,4.12,-17.7,0.36,5.33,-17.7923755,0.36,5.16
Fore-gut-LG,LG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.1,-15.42,3.91,35.69,-15.16,4.83,34.4
Fore-gut-LG,LG,Gut,Gut,Fore-gut,Gut,Gut,NA,6.16,-15.59,4.26,35.71,-15.28,5.01,34.05
Hind-gut-LG,LG,Gut,Gut,Hind-gut,Gut,Gut,NA,5.35,-15.01,0.76,20.72,-15.16,1.08,17.03
Hind-gut-LG,LG,Gut,Gut,Hind-gut,Gut,Gut,NA,5.23,-14.95,0.76,21.67,-15.28,0.99,16.11
Fore-gut-LM,LM,Gut,Gut,Fore-gut,Gut,Gut,NA,6.78,-15.66,4.97,36.42,-15.24,5.99,36.67
Fore-gut-LM,LM,Gut,Gut,Fore-gut,Gut,Gut,NA,6.66,-15.77,5.43,36.11,-15.38,6.33,36.58
Hind-gut-LM,LM,Gut,Gut,Hind-gut,Gut,Gut,NA,5.51,-15.22,0.79,20.93,-14.85,1.05,21.08
Hind-gut-LM,LM,Gut,Gut,Hind-gut,Gut,Gut,NA,5.4,-15.23,0.79,21.16,-14.74,0.75,21.77
LS-E-G-CH-1-O,LS,East,Grazed,5,1,No Horizon,0,4.21,-17.52,0.38,5.71,-17.24,0.42,6.59
LS-E-G-CH-2-O,LS,East,Grazed,5,2,No Horizon,0,3.23,-16.79,0.35,6.04,-16.84,0.39,6.58
LS-E-G-CH-3-O,LS,East,Grazed,5,3,No Horizon,0,3.13,-16.85,0.38,7.31,-16.9,0.39,7.45
LS-E-G-HF-1-O,LS,East,Grazed,3,1,No Horizon,0,4.45,-17.56,0.26,3.5,-17.41,0.29,4.01
LS-E-G-HF-2-O,LS,East,Grazed,3,2,No Horizon,0,4.35,-18.63,0.38,4.55,-19.07,0.39,4.41
LS-E-G-HF-3-O,LS,East,Grazed,3,3,No Horizon,0,4.3,-18.41,0.39,4.9,-18.77,0.4,4.76
LS-E-G-HP-1-A-M,LS,East,Grazed,7,1,Upper Horizon,NA,4.45,-18.89,0.42,5.38,-18.96,0.42,5.13
LS-E-G-HP-1-B-P,LS,East,Grazed,7,1,Lower Horizon,NA,2.87,-17.1,0.45,8.23,-16.87,0.5,9.23
LS-E-G-HP-2-A-P,LS,East,Grazed,7,2,Lower Horizon,NA,2.814904863,-17.19229181,0.4,7.77,-17.28,0.42,7.38
LS-E-G-HP-2-B-M,LS,East,Grazed,7,2,Upper Horizon,1.4,4.499402788,-18.94864946,0.42,5.44,-18.91,0.47,5.64
LS-E-G-HP-3-A-P,LS,East,Grazed,7,3,Lower Horizon,NA,3.597355163,-17.92791243,0.37,6.01,-17.97,0.4,5.87
LS-E-G-HP-3-B-M,LS,East,Grazed,7,3,Upper Horizon,1.2,4.290614237,-18.68179674,0.41,5.67,-19.16,0.44,5.24
LS-E-G-LP-3-A-P,LS,East,Grazed,6,3,Lower Horizon,NA,2.81,-16.75,0.4,7.62,-16.6,0.42,8.03
LS-E-G-LP-3-B-M,LS,East,Grazed,6,3,Upper Horizon,0.6,4.42,-18.94,0.42,5.22,-18.96,0.4,4.99
LS-E-G-MC-1-O,LS,East,Grazed,1,1,No Horizon,0,4.94,-20.19,0.41,4.21,-20.34162075,0.41,4.07
LS-E-G-MC-2-O,LS,East,Grazed,1,2,No Horizon,0,4.65,-19.64,0.42,4.58,-20.28,0.43,4.48
LS-E-G-MC-3-O,LS,East,Grazed,1,3,No Horizon,0,4.89,-19.57,0.4,4.45,-20.29,0.4,4.29
LS-E-G-MF-1-O,LS,East,Grazed,2,1,No Horizon,0,4.83,-19.95,0.41,4.38,-20.07392363,0.39,4.33
LS-E-G-MF-2-O,LS,East,Grazed,2,2,No Horizon,0,4.67,-20.03,0.39,4.25,-20.16281928,0.39,4.13
LS-E-G-MF-3-O,LS,East,Grazed,2,3,No Horizon,0,4.72,-19.93,0.4,4.31,-20.31434595,0.39,4.13
LS-E-G-MUD-1-O,LS,East,Grazed,4,1,No Horizon,0,3.7,-17.41,0.34,5.1,-17.5,0.35,5
LS-E-G-MUD-2-O,LS,East,Grazed,4,2,No Horizon,0,4.16,-17.42,0.4,5.86,-17.6,0.39,5.69
LS-E-G-MUD-3-O,LS,East,Grazed,4,3,No Horizon,0,4.08,-17.02,0.38,5.9,-16.99,0.38,5.77
LS-E-H-CH-1-M,LS,East,Un-grazed,5,1,Upper Horizon,2.2,3.98,-18.22,0.41,5.39,-18.0917961,0.45,5.54
LS-E-H-CH-1-P,LS,East,Un-grazed,5,1,Lower Horizon,NA,3.014136489,-16.11,0.37,6.77,-16.41,0.4,6.8
LS-E-H-CH-2-M,LS,East,Un-grazed,5,2,Upper Horizon,0.5,4.23,-18.2,0.42,5.38,-18.45,0.43,5.31
LS-E-H-CH-2-P,LS,East,Un-grazed,5,2,Lower Horizon,NA,2.76,-16.05,0.44,8.43,-16.18,0.46,8.56
LS-E-H-CH-3-O,LS,East,Un-grazed,5,3,No Horizon,0,2.837218875,-16.51,0.4,7.61,-16.42,0.44,8.08
LS-E-H-HF-1-O,LS,East,Un-grazed,3,1,No Horizon,0,4.011951835,-17.07,0.45,6.71,-17.00176877,0.43,6.54
LS-E-H-HF-2-O,LS,East,Un-grazed,3,2,No Horizon,0,4.19796807,-18.19,0.42,5.46,-18.42677063,0.43,5.47
LS-E-H-HF-3-O,LS,East,Un-grazed,3,3,No Horizon,0,3.52849613,-17.03991043,0.35,5.62,-17.11,0.4,6.15
LS-E-H-HP-1-A-M,LS,East,Un-grazed,7,1,Upper Horizon,1.5,4.232769573,-18.59682321,0.38,4.78,-18.71,0.4,4.89
LS-E-H-HP-1-B-P,LS,East,Un-grazed,7,1,Lower Horizon,NA,2.463472549,-16.31774632,0.35,6.55,-16.32,0.37,6.83
LS-E-H-HP-2-M,LS,East,Un-grazed,7,2,Upper Horizon,0.5,4.21,-18.68,0.36,4.68,-18.8,0.37,4.53
LS-E-H-HP-2-P,LS,East,Un-grazed,7,2,Lower Horizon,NA,2.534143172,-16.36823163,0.4,6.96,-16.53,0.39,7.01
LS-E-H-HP-3-A-M,LS,East,Un-grazed,7,3,Upper Horizon,0.6,4.149732641,-18.3814606,0.38,5.03,-18.49,0.39,4.83
LS-E-H-HP-3-B-P,LS,East,Un-grazed,7,3,Lower Horizon,NA,2.820986083,-16.37752856,0.39,7.7,-16.42,0.4,7.41
LS-E-H-LP-1-M,LS,East,Un-grazed,6,1,Upper Horizon,1,4.37,-18.78,0.38,4.84,-18.72,0.39,4.82
LS-E-H-LP-1-P,LS,East,Un-grazed,6,1,Lower Horizon,NA,2.206083406,-16.24978987,0.38,7.32,-16.76,0.35,6.08
LS-E-H-LP-2-M,LS,East,Un-grazed,6,2,Upper Horizon,1.6,4.35,-18.88,0.4,4.82,-18.82,0.4,4.8
LS-E-H-LP-2-P,LS,East,Un-grazed,6,2,Lower Horizon,NA,2.633714187,-16.41714531,0.39,7.11,-16.54,0.42,7.11
LS-E-H-LP-3-A-M,LS,East,Un-grazed,6,3,Upper Horizon,0.9,4.150688783,-18.70737923,0.37,4.79,-18.76,0.39,4.81
LS-E-H-LP-3-B-P,LS,East,Un-grazed,6,3,Lower Horizon,NA,1.928427401,-15.96883557,0.42,8.33,-16.08,0.43,9.06
LS-E-H-MC-1-O,LS,East,Un-grazed,1,1,No Horizon,0,4.992630578,-18.93390541,0.43,4.93,-19.72642246,0.45,4.66
LS-E-H-MC-2-O,LS,East,Un-grazed,1,2,No Horizon,0,4.84341761,-19.70471789,0.39,4.36,-19.90320358,0.36,4.18
LS-E-H-MC-3-O,LS,East,Un-grazed,1,3,No Horizon,0,4.893827396,-19.30153929,0.41,4.55,-19.78703313,0.38,4.24
LS-E-H-MF-2-O,LS,East,Un-grazed,2,2,No Horizon,0,4.628986719,-19.26928782,0.42,4.79,-19.27,0.42,4.62
LS-E-H-MF-3-O,LS,East,Un-grazed,2,3,No Horizon,0,4.85,-19.7,0.43,4.73,-19.77664209,0.45,4.69
LS-E-H-MUD-1-O,LS,East,Un-grazed,4,1,No Horizon,0,4.068565472,-17.96,0.42,5.7,-17.9740991,0.41,5.83
LS-E-H-MUD-2-M,LS,East,Un-grazed,4,2,Upper Horizon,0.7,4.46,-18.54,0.41,5.01,-18.65,0.41,4.87
LS-E-H-MUD-2-P,LS,East,Un-grazed,4,2,Lower Horizon,NA,2.445978207,-15.97,0.4,7.81,-16.21517587,0.39,6.95
LS-E-H-MUD-3-M,LS,East,Un-grazed,4,3,Upper Horizon,2.1,3.841619143,-18.37266834,0.38,4.95,-18.42,0.33,3.89
LS-E-H-MUD-3-P,LS,East,Un-grazed,4,3,Lower Horizon,NA,3.216328049,-17.04,0.38,6.35,-17.29813668,0.36,5.97
LS-N-G-CH-1-O,LS,North,Grazed,5,1,No Horizon,0,2.342884722,-16.8674836,0.41,7.98,-17.08,0.45,8.48
LS-N-G-CH-2-O,LS,North,Grazed,5,2,No Horizon,0,2.75,-17.21,0.43,7.65,-17.36,0.43,7.72
LS-N-G-CH-3-O,LS,North,Grazed,5,3,No Horizon,0,3.28,-17.89,0.37,5.84,-17.73,0.4,6.51
LS-N-G-HF-1-O,LS,North,Grazed,3,1,No Horizon,0,4.659925987,-19.45082708,0.41,4.51,-19.85269469,0.42,4.43
LS-N-G-HF-2-O,LS,North,Grazed,3,2,No Horizon,0,4.31,-19.41,0.4,4.73,-19.35850261,0.42,4.71
LS-N-G-HF-3-O,LS,North,Grazed,3,3,No Horizon,0,4.160562631,-19.35,0.4,4.76,-19.51988103,0.41,4.82
LS-N-G-HP-1-A-P,LS,North,Grazed,7,1,Lower Horizon,NA,2.497667889,-18.17548682,0.43,8.08,-18.43280738,0.4,7.67
